Phrase,Intent
can you help,HelpGeneral
can you help me,HelpGeneral
i need help,HelpGeneral
i need assistance,HelpGeneral
i am lost,HelpGeneral
help,HelpGeneral
please help me,HelpGeneral
i would like help,HelpGeneral
i need some help,HelpGeneral
could you help me out,HelpGeneral
i am confused,HelpGeneral
i dont understand,HelpGeneral
show me what to do,HelpGeneral
i need guidance,HelpGeneral
can you guide me,HelpGeneral
i need support,HelpGeneral
im having trouble,HelpGeneral
walk me through this,HelpGeneral
how do i do this,HelpGeneral

what commands can i use,HelpCommands
can you tell me the commands,HelpCommands
tell me about commands,HelpCommands
can you tell me about commands,HelpCommands
what are the commands,HelpCommands
tell me your commands,HelpCommands
list commands,HelpCommands
show commands,HelpCommands
commands,HelpCommands
what are the available commands,HelpCommands
command help,HelpCommands
how do i use commands,HelpCommands
i need help with commands,HelpCommands

i need help with my name,Identification
i need help with identification,Identification
help me with my name,Identification
help me with identification,Identification
tell me how to set my name,Identification
tell me about identification,Identification
explain to me about identification,Identification

what can you do,Capabilities
what can we do,Capabilities
what can i do,Capabilities
what are your capabilities,Capabilities
what are you capable of,Capabilities
tell me what you can do,Capabilities
show me your abilities,Capabilities
explain your capabilities,Capabilities
what functions do you have,Capabilities
how can you help me,Capabilities
describe your abilities,Capabilities

what is your purpose,Purpose
tell me your purpose,Purpose
explain your purpose,purpose
what is the point of you,Purpose
what is the point of your existence,Purpose
tell me about yourself,Purpose
