Question,Answer
hello,"Hello there! I am Maila. How can I assist you today?|Hello! How are you doing today?|Hi! How can I help you?"
hi,"Hi there! I am Maila. How are you doing?|Hello! How can I assist you today?|Hi! How are things?"
hey,"Hey there! Nice to see you.|Hey! How are you?|Hello there!"
hi there,"Hi there! How are you doing today?|Hello there! How is your day going?|Hi! How can I help you?"
hey there,"Hey there! How are things going?|Hey! How have you been?|Hello there!"
greetings,"Greetings! How can I help you today?|Greetings! How are you doing?|Hello! What brings you here today?"
good morning,"Good morning! I hope your day starts off great.|Good morning! How are you feeling today?|Morning! Ready for the day?"
good afternoon,"Good afternoon! How is your day going?|Good afternoon! How have you been?|Hope your afternoon is going well!"
good evening,"Good evening! How was your day?|Good evening! How are you tonight?|Hope your evening is peaceful."
how are you,"I am doing great, thank you! How about you?|I am fine, thank you for asking! How are you?|All good here! How are things with you?"
how are you doing,"I am functioning perfectly! How about yourself?|I am fine, thank you! How are you doing today?|Everything is good here, how are you?"
how have you been,"I have been good! What about you?|I have been well, thank you! How have you been feeling?|I am doing fine, how about you?"
how is it going,"All good on my end. How are you doing?|It is going well, how about you?|Everything is smooth here!"
what is up,"Not much, just here to chat. What about you?|Nothing much, how about you?|Just chatting with you, what is up with you?"
what are you doing,"Just chatting with you! What are you up to?|Talking with you! What about you?|Enjoying our conversation!"
how is everything,"Everything is good here! How is life treating you?|All fine here, how is everything for you?|Everything is fine. How about you?"
how is life,"Pretty good! How about yours?|Life is peaceful here, how is yours?|All is well, how about you?"
how are things,"Everything is running smoothly. How are things for you?|Things are good, how about you?|All steady here!"
it is good,"That is wonderful to hear!|I am happy to hear that!|Great to know that!"
it is bad,"I am sorry to hear that. Want to talk about it?|That sounds rough. Do you want to share more?|I hope things get better soon."
i am good,"That is great to hear!|Good to hear that!|Glad you are doing well!"
i am doing good,"That is great to hear!|Happy to hear that!|I am glad you are doing good!"
i am well,"I am glad to hear that!|That is nice to hear!|Good to know you are well!"
i am fine,"Happy to hear you are doing fine!|Good to hear that you are fine!|That is great!"
i am sad,"I am sorry to hear that. I am here if you would like to talk.|That sounds tough. Do you want to talk about it?|I hope you feel better soon."
i am bored,"Let us fix that! Want to chat or ask me something fun?|We can talk about something interesting!|Maybe I can keep you company?"
